star_rating	helpful_votes	total_votes	review_headline	review_date
5	0	0	Works great	8/31/2015
5	0	0	I am obsessed	8/29/2015
3	0	0	Three Stars	8/26/2015
3	0	0	Not as Quiet as the Reviews said	8/23/2015
3	0	0	Three Stars	8/23/2015
3	0	0	Fairly decent but causes some frustration	8/22/2015
1	0	0	Overheated in 2 minutes.	8/22/2015
5	0	0	Five Stars	8/21/2015
3	0	0	Three Stars	8/20/2015
5	0	0	love it	8/19/2015
5	0	0	Five Stars	8/18/2015
5	0	0	Five Stars	8/18/2015
5	0	0	Five Stars	8/18/2015
3	0	1	but I was disappointed when I received it because the power cord is ...	8/17/2015
5	0	0	Must buy!!	8/16/2015
5	0	0	Five Stars	8/15/2015
5	0	0	AWESOME!	8/15/2015
5	0	0	Perfect heat settings and easy to hold.	8/13/2015
5	0	0	AWESOME!	8/11/2015
4	0	0	Its PINK AND BROWN	8/10/2015
4	0	0	Hair dryer has a good weight to it and it feels solidly built	8/10/2015
4	0	0	Good gift	8/9/2015
1	1	1	Please don't buy this item	8/8/2015
5	0	0	Perfect!	8/8/2015
5	0	0	Five Stars	8/7/2015
5	0	0	Girlfriend loves it	8/7/2015
3	0	0	Three Stars	8/5/2015
1	0	0	One Star	8/4/2015
5	0	0	love this thing	8/3/2015
2	1	1	Internal sparks after less than a year!	8/2/2015
5	0	0	Five Stars	8/2/2015
1	0	1	One Star	8/1/2015
5	0	0	COOL SLIM HAIR DRYER	8/1/2015
5	0	0	Good quality and good performance	8/1/2015
4	0	0	Four Stars	7/28/2015
5	0	0	Five Stars	7/28/2015
5	0	1	Love it very very powerful	7/27/2015
5	0	0	Awesome hair dryer for the price!	7/27/2015
3	2	2	The good: For the most part	7/25/2015
5	0	0	It's a great dryer!!	7/25/2015
4	0	0	Four Stars	7/24/2015
5	0	0	Quiet and Fast Blow Dryer	7/23/2015
3	1	1	This is almost perfect. I love the finish	7/21/2015
1	0	0	Not a good product.	7/21/2015
5	0	0	Great Dryer	7/19/2015
5	0	1	Great hair dryer	7/18/2015
5	0	1	It works and its my go to dryer.	7/18/2015
5	0	0	Best hairdryer ever!!	7/16/2015
5	0	0	Five Stars	7/15/2015
4	0	0	Can't complain.	7/15/2015
4	0	0	"I love it, and it does a great job of ..."	7/10/2015
5	0	0	Working great!	7/9/2015
4	0	0	Works great and does dry very quickly	7/9/2015
1	0	2	DON'T WASTE YOUR MONEY	7/7/2015
5	0	0	Amazing stamina. Plug it in and it never stops	7/7/2015
1	0	0	One Star	7/6/2015
3	0	0	Heavy and has a weak drying power	7/6/2015
5	0	0	"this one blows them out of the water (pun very much intended) Thank you to everyone else who posted a great review, this is a gr"	7/6/2015
5	0	0	"quick, powerful, dry"	7/4/2015
5	0	0	"Nice dryer, great bargain, would recommend"	7/3/2015
1	0	0	This hair dryer doesn't function well after I used it ...	7/2/2015
5	3	3	POWERFUL - great for long beautiful hair	7/2/2015
5	0	1	Five Stars	6/29/2015
5	0	0	As promised	6/28/2015
3	0	0	Positives and negatives	6/27/2015
4	0	0	Good hairdryer that isn't too loud	6/25/2015
2	0	0	Two Stars	6/22/2015
5	0	0	would buy again	6/21/2015
5	0	0	Five Stars	6/20/2015
3	0	0	"Awkward grip on handle, it kinda bugs my finger ..."	6/17/2015
1	0	0	Broke	6/15/2015
5	0	0	Perfect!	6/12/2015
5	0	0	Great blower for a good price.	6/12/2015
5	0	0	Great dryer. Lightweight and easy to handle	6/11/2015
5	0	0	... many blow dryers and this one has been my favorite.	6/11/2015
5	0	0	a perfectly good hair dryer	6/10/2015
5	0	0	Five Stars	6/9/2015
4	0	0	Four Stars	6/8/2015
5	0	0	love it!	6/4/2015
3	0	0	Three Stars	6/4/2015
5	0	0	Five Stars	6/2/2015
5	0	0	Nice drying experience.	6/2/2015
1	0	1	it seems to be newand fine but never went	5/27/2015
5	0	0	Five Stars	5/25/2015
4	0	0	Great value	5/22/2015
5	0	0	... a purple hint of color just an fyi and love it. I used it for the first time ...	5/22/2015
5	0	0	Five Stars	5/22/2015
1	0	0	Awful! Puff of smoke and NO blowing!	5/21/2015
5	0	0	Five Stars	5/20/2015
5	0	0	Great Hair Dryer	5/20/2015
4	0	0	Four Stars	5/19/2015
4	0	0	Four Stars	5/19/2015
5	0	0	I love it!!	5/17/2015
4	0	0	It dries my hair very fast though it does not have the changing voltz feature I like it! Is a little heavy but you can ...	5/17/2015
5	0	0	Five Stars	5/17/2015
5	0	0	works great! Just a little heavy	5/16/2015
1	0	0	very disappointed!!!!	5/15/2015
5	0	0	Five Stars	5/14/2015
4	0	0	This hair dryer is amazing! only flaw	5/13/2015
5	1	2	hands down the best Blow dryer EVER	5/12/2015
5	0	0	Five Stars	5/11/2015
5	0	0	Best dryer I have ever owned!	5/10/2015
5	0	0	hair dryer	5/8/2015
5	0	0	Five Stars	5/8/2015
5	0	0	Five Stars	5/6/2015
5	0	0	Dries my hair incredibly quickly. What used to take ...	5/5/2015
4	0	0	really good; especially for the price!	5/4/2015
5	0	0	Very happy with it overall	5/3/2015
4	0	0	Great performance but they need work on the product painting	5/2/2015
5	0	0	It much quieter than my old one and dries my hair super fast without feeling dried out	5/1/2015
1	0	0	Heavy!!!	5/1/2015
5	0	0	Excellent!	4/26/2015
4	0	0	but it is very adequate and it is easy to handle	4/25/2015
5	0	0	Great! Its light	4/25/2015
2	0	0	"I purchased a flamethrower, cool."	4/25/2015
5	0	0	"If you need a cheap heat gun for your models, then this will do!"	4/20/2015
5	0	0	Five Stars	4/20/2015
5	0	0	Powerful hairdryer	4/19/2015
5	0	0	Favorite hair dryer	4/18/2015
4	0	0	Four Stars	4/18/2015
3	0	0	I'm not too impressed	4/15/2015
3	0	0	Three Stars	4/7/2015
5	2	2	Blows away the competition	4/3/2015
1	0	1	Heavy!	4/2/2015
4	0	0	"Good construction, air-flow, and price."	4/2/2015
5	0	0	like the ability to clean it	3/30/2015
1	0	0	wasn't what I expected. Thought it would have been ...	3/28/2015
5	0	0	Love it just as well as my older one and ...	3/26/2015
4	0	0	good drier for the price	3/25/2015
5	0	0	Five Stars	3/18/2015
5	0	0	great!	3/18/2015
5	0	0	Good hair dryer.	3/18/2015
5	1	1	Great buy!	3/17/2015
4	0	0	Great blow dryer!	3/15/2015
5	0	0	Five Stars	3/14/2015
5	0	0	So this one to me is awesome!! It's not too noisy and it dries ...	3/10/2015
5	0	0	Buy it!	3/10/2015
5	0	0	Five Stars	3/10/2015
5	0	0	Five Stars	3/8/2015
5	0	0	Five Stars	3/7/2015
3	0	0	Three Stars	3/6/2015
4	0	0	i like it	3/5/2015
5	0	0	Five Stars	3/4/2015
5	0	0	Beautiful matte finish	3/4/2015
5	0	0	Very good blow dryer	3/3/2015
5	0	0	I love this hair dryer	3/2/2015
3	0	0	Meh. Nothing extraordinary.	3/2/2015
5	0	0	Quiet and quick	3/2/2015
5	0	0	I love this blow dryer	2/28/2015
4	0	0	Great hairdryer!	2/27/2015
5	0	1	Five Stars	2/27/2015
4	0	0	I love this hair dryer	2/24/2015
1	1	2	The most awful hair dryer ever. Very Heavy and ...	2/24/2015
4	0	0	Good basic dryer for the price.	2/24/2015
5	0	0	"High quality, great price"	2/24/2015
5	0	0	Great Buy!	2/23/2015
5	0	0	Recommended	2/21/2015
5	0	0	Great dryer!	2/18/2015
3	0	0	Three Stars	2/16/2015
5	0	0	Happy Wife	2/15/2015
5	0	0	Five Stars	2/14/2015
5	0	0	Five Stars	2/14/2015
5	0	0	This blow dryer works great. It never frizzes my hair and the temperature ...	2/13/2015
3	0	0	The diffuser is crap and the fan speed and heat settings are way ...	2/13/2015
5	0	0	"i am completely satisfied, i have a long"	2/12/2015
4	0	0	Dries my long hair in about 10 minutes	2/12/2015
5	0	0	Five Stars	2/11/2015
5	0	0	Five Stars	2/11/2015
4	1	1	GREAT hairdryer!	2/10/2015
3	0	2	pretty quiet for the	2/7/2015
5	0	2	Five Stars	2/5/2015
5	0	1	happy hair	2/5/2015
2	2	2	My old Remington ProAir Ceramic just died and I purchased ...	2/4/2015
5	0	2	Five Stars	2/4/2015
3	0	0	Fire hazard	2/3/2015
5	0	1	Highly recommended	2/3/2015
4	0	1	Black and pink! Otherwise works great!	1/31/2015
5	0	0	Best hairdryer I've ever had	1/29/2015
5	1	1	Good dependable hair dryer	1/29/2015
4	0	0	I like this hair dryer	1/20/2015
5	0	1	Five Stars	1/20/2015
5	0	1	Five Stars	1/20/2015
2	0	0	Small Diffuser.  Does not work well on curly hair.	1/18/2015
5	0	0	"I love it, it's not too heavy"	1/18/2015
5	1	1	I've tried them all.  Buy this one!	1/15/2015
5	0	0	Five Stars	1/15/2015
4	0	0	Good product but heavy.	1/13/2015
5	0	0	Five Stars	1/13/2015
5	0	0	The one my wife Had to Have when she broke her old one	1/12/2015
5	0	0	Just what I was looking for!	1/12/2015
5	0	0	I loved my first one so much that I wore it ...	1/11/2015
4	0	0	ok but not great	1/11/2015
5	0	0	Five Stars	1/8/2015
2	0	0	Heavy and not that great	1/7/2015
5	0	0	QUIET!!!!	1/7/2015
4	0	2	Enjoy the settings for heat and power	1/6/2015
1	0	0	One Star	1/5/2015
4	1	1	Purchased as a gift for my roommate. She likes ...	1/5/2015
4	0	0	The speed and heat settings being separate are nice. The anti-static seems to work	1/4/2015
2	1	2	I hate this dryer	1/4/2015
5	0	2	Five Stars	1/1/2015
4	2	2	This is a good quality lower priced hairdryer	12/30/2014
5	0	0	Five Stars	12/29/2014
3	1	1	Loud and Heavy Working Hair Dryer.	12/28/2014
2	1	2	BUYER BEWARE	12/27/2014
4	0	0	Works great. I have very long and thick hair	12/24/2014
5	0	0	The best blow dryer I've ever used	12/24/2014
5	0	0	Great hair dryer for the price	12/23/2014
5	0	0	... already had one of these as my grown children recommended this great hair dryer	12/22/2014
4	0	0	Large and heavy but the heat settings are good	12/20/2014
5	1	1	Repeat customer	12/20/2014
4	0	0	... dryer for about three months and am overall really pleased. My previous hair dryer was about five years ...	12/15/2014
5	0	0	Five Stars	12/13/2014
2	0	0	I wanted to like it...	12/4/2014
5	0	0	Perfect!	12/3/2014
3	2	2	Works for small jobs	11/29/2014
5	0	0	Five Stars	11/25/2014
5	0	0	Solid construction - Attractive	11/22/2014
5	0	0	I have always hated blow drying my hair	11/19/2014
4	1	1	BLUE SPARKS but best blow dryer ever	11/16/2014
3	1	1	Great until it wasn't.	11/11/2014
5	0	0	Five Stars	11/10/2014
4	0	0	Four Stars	11/9/2014
5	0	0	Highly recommended for fine hair - will leave hair feeling soft!	11/7/2014
5	0	0	It is great! My hairstylist even thinks so!	11/5/2014
5	0	0	Five Stars	11/5/2014
5	0	0	Five Stars	11/3/2014
5	0	0	BEST. HAIRDRYER	10/30/2014
3	0	0	Ok but will be looking for something different	10/30/2014
5	0	0	Five stars!	10/28/2014
3	0	0	Good but could have one option faster	10/24/2014
5	0	0	... blow dryer for about three years now and I love it. My daughter is constantly stealing it from ...	10/24/2014
5	0	0	Good dryer.	10/20/2014
5	0	0	Don't waste your money on the cheap ones	10/20/2014
2	1	1	Have had this less than a year and it's started ...	10/15/2014
5	0	0	EXCELLENT PRODUCT	10/14/2014
4	0	0	As Advertised Plus Awesome Settings	10/10/2014
5	0	0	Five Stars	10/10/2014
2	0	0	dont like this dryer at all:(	10/7/2014
5	0	0	... product runs quieter than I'd imagined and works absolutely great. Highly recommended	10/2/2014
5	0	0	Amazing hair dryer!	10/1/2014
5	0	0	Great Product	9/26/2014
4	0	0	My mother really likes a Conair 225R Comfort Touch Tourmaline ...	9/22/2014
5	0	0	This is a great hair dryer	9/22/2014
5	0	0	Quiet and fairly light weight. I have very long ...	9/20/2014
5	0	0	Great dryer for the price.	9/19/2014
2	0	0	Two Stars	9/19/2014
5	0	0	Fabulous	9/18/2014
5	0	0	love it	9/5/2014
5	0	0	Five Stars	9/4/2014
5	0	0	Five Stars	8/26/2014
5	0	0	Great & great color	8/20/2014
5	0	0	Five Stars	8/20/2014
5	0	0	Pleased	8/13/2014
4	1	1	It feels sturdy and works well	8/4/2014
5	0	0	"excellent product, works fine. recomended"	8/4/2014
4	1	1	Good Value-Great Dryer!	8/2/2014
5	0	0	Just Buy IT!!!!	7/31/2014
1	1	2	Didn't last long...	7/29/2014
3	0	0	The dryer arrived in good condition due to being carefully wrapped	7/23/2014
5	0	0	Love this hair dryer	7/21/2014
3	1	1	Good Hair Dryer	7/20/2014
5	0	0	Excellent!	7/19/2014
5	0	0	Fantastically quiet	7/18/2014
5	0	0	Five Stars	7/16/2014
5	0	0	Five Stars	7/15/2014
5	0	0	Five Stars	7/11/2014
2	0	0	Underpowered dryer	7/9/2014
5	0	0	Very pleased with it	7/8/2014
3	0	0	"I like it, it dries my hair quickly"	7/7/2014
5	0	0	Five Stars	7/6/2014
5	0	0	Five Stars	7/5/2014
4	0	0	Still good but they don't make em like they used to.	7/2/2014
5	0	0	Highly recommend this blow dryer!	6/28/2014
5	0	0	Love it	6/26/2014
3	0	0	Conflicted	6/25/2014
3	0	0	"Good temp range, but...."	6/22/2014
1	0	2	Not Quiet; Fried My Hair	6/17/2014
3	0	0		6/15/2014
5	0	0	good hairdrier!	6/11/2014
5	0	0	All you need	6/5/2014
4	0	0	Replaced another one like it	5/30/2014
5	0	0	Great value	5/29/2014
3	0	0	"Powerful and quiet for about a year, then loses power."	5/29/2014
5	0	0	Great buy!	5/28/2014
5	0	0	So far so good!	5/28/2014
5	0	0	Great dryer	5/18/2014
4	0	0	LOVE THE FEEL OF THIS BLOW DRYER	5/16/2014
5	0	0	Best Blow Dryer	5/14/2014
5	0	0	Awesome	5/10/2014
5	0	0	Best blow dryer for your $	5/7/2014
3	0	0	Very nice looking hair dryer and very sturdy	5/4/2014
4	0	0	good	5/1/2014
4	0	0	Better than the Rusk Speed Freak!!!	4/24/2014
5	0	0	My Favorite Dryer!	4/22/2014
3	0	0	Very short cord!	4/18/2014
1	2	2	Good while it lasted.	4/17/2014
5	0	0	Remington hair dryer	4/16/2014
5	0	0	Good for price	4/16/2014
5	0	0	"Very well build, solid and high quality"	4/16/2014
