reviewdate,number
4/1/2003	,1
12/1/2003	,1
4/1/2004	,2
5/1/2004	,1
6/1/2004	,1
2/1/2005	,1
4/1/2005	,88
10/1/2005	,1
11/1/2005	,1
2/1/2006	,1
3/1/2006	,1
4/1/2006	,15
8/1/2006	,1
10/1/2006	,2
11/1/2006	,2
12/1/2006	,2
1/1/2007	,5
2/1/2007	,1
3/1/2007	,2
4/1/2007	,1
5/1/2007	,1
6/1/2007	,6
7/1/2007	,44
8/1/2007	,4
9/1/2007	,23
10/1/2007	,5
11/1/2007	,2
12/1/2007	,6
1/1/2008	,3
2/1/2008	,4
3/1/2008	,4
4/1/2008	,3
5/1/2008	,3
6/1/2008	,26
7/1/2008	,4
8/1/2008	,63
9/1/2008	,9
10/1/2008	,5
11/1/2008	,7
12/1/2008	,68
1/1/2009	,4
2/1/2009	,11
3/1/2009	,12
4/1/2009	,13
5/1/2009	,3
6/1/2009	,3
7/1/2009	,7
8/1/2009	,6
9/1/2009	,13
10/1/2009	,6
11/1/2009	,9
12/1/2009	,87
1/1/2010	,14
2/1/2010	,27
3/1/2010	,12
4/1/2010	,10
5/1/2010	,24
6/1/2010	,23
7/1/2010	,23
8/1/2010	,24
9/1/2010	,36
10/1/2010	,30
11/1/2010	,35
12/1/2010	,44
1/1/2011	,25
2/1/2011	,51
3/1/2011	,58
4/1/2011	,36
5/1/2011	,70
6/1/2011	,58
7/1/2011	,68
8/1/2011	,122
9/1/2011	,109
10/1/2011	,72
11/1/2011	,131
12/1/2011	,205
1/1/2012	,131
2/1/2012	,41
3/1/2012	,175
4/1/2012	,54
5/1/2012	,56
6/1/2012	,54
7/1/2012	,86
8/1/2012	,213
9/1/2012	,55
10/1/2012	,58
11/1/2012	,309
12/1/2012	,192
1/1/2013	,453
2/1/2013	,208
3/1/2013	,206
4/1/2013	,354
5/1/2013	,200
6/1/2013	,236
7/1/2013	,473
8/1/2013	,328
9/1/2013	,186
10/1/2013	,343
11/1/2013	,462
12/1/2013	,257
1/1/2014	,392
2/1/2014	,508
3/1/2014	,306
4/1/2014	,256
5/1/2014	,224
6/1/2014	,216
7/1/2014	,595
8/1/2014	,720
9/1/2014	,653
10/1/2014	,517
11/1/2014	,515
12/1/2014	,1160
1/1/2015	,714
2/1/2015	,850
3/1/2015	,815
4/1/2015	,630
5/1/2015	,850
6/1/2015	,673
7/1/2015	,551
8/1/2015	,685
