star_rating	review_headline
5	Works great
4	I love travel blow dryers because they are easy to lift ...
5	Five Stars
5	Five Stars
5	Five Stars
3	Everything okay but.....!!
5	Five Stars
5	Nice hairdryer that works very well.
5	"Works great, I use it 5 days a week"
3	"The styling tip does not stay on,"
4	Blows like a jet engine!
2	Great drier...........meh
5	A good replacement
5	Girlfriend loves it
4	"Nice, light and powerful..."
5	Great Blow Dryer
5	Five Stars
5	Five Stars
1	HOT AIR!
5	Works just like the ones in the hotels.
5	I am obsessed
5	Works great. Just wish it had a medium setting
5	No complaints!
5	Five Stars
2	Two Stars
3	Great blowdryer. it gets the job done
5	Well worth the money!
4	Buy this
5	Five Stars
5	Great little dryer!
5	Perfect
5	Five Stars
5	Great blow dryer
5	Great dryer for travel
3	This Conair Is Full of Air
5	was easy to mount on the wall
5	"Petite, but Powerful Performance"
5	Five Stars
1	One Star
5	but it worked great. Dried my hair in about 15 minutes
5	Great hair dryer.
3	so good..
1	Just annoying to have to deal with this
1	Piece of crap
5	Five Stars
3	Three Stars
5	happy with product
4	Good for the price
5	Five Stars
2	Diffuser made curls frizzy
5	Five Stars
3	Not as hot and powerful as I expected and somehow ...
2	Disappointed in the packaging.
4	Not bad!!
5	Mom Loves It!
5	Five Stars
4	It works
1	One Star
4	Great Hairdryer
4	I love this hair dryer
5	Great
5	This is the best dryer I have ever used
5	Great product.  My wife loves it.
4	Four Stars
2	Two Stars
3	Three Stars
4	Four Stars
5	Hot Tools bonnet dryer is compact & good brand. Remember the Dryer hose clicks into bonnet to stay hooked on.
5	Quality and good looks.
5	Five Stars
3	Not as Quiet as the Reviews said
5	Five Stars
3	Three Stars
5	Five Stars
5	Happy with this purchase.
4	Big and heavy
5	Five Stars
4	Four Stars
5	Five Stars
5	Great price!! Great dryer
3	I enjoyed using this at the beginning
5	Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer
1	Well they refund my money but I don't recommend this product
5	Best ever
5	Love it!
3	Fairly decent but causes some frustration
5	my new favorite hair dryer
5	Love it
1	Overheated in 2 minutes.
5	Five Stars
4	Four Stars
2	Two Stars
1	I purchased the dryer about 9 month ago. It ...
5	Five Stars
5	Five Stars
5	The speed and heat settings are wonderful.
4	Four Stars
5	Five Stars
5	Five Stars
5	Five Stars
5	Best Hair Dryer
5	Perfect little dryer
5	Color me surprised!
4	Four Stars
5	Five Stars
2	Two Stars
4	I wish it was a little bit stronger and a ...
5	Five Stars
3	Three Stars
5	Five Stars
4	Four Stars
5	Five Stars
2	Great while it worked
5	Vidal Sasson VS547
5	Five Stars
5	So light and easy to use!
3	Three Stars
5	Five Stars
5	Works Anywhere
5	love it
5	He seems to enjoy it.
5	Works great!
4	"Feels well made, but a little heavy in hand"
5	Just keeps improving the health of my hair...
5	Five Stars
4	Four Stars
1	One Star
3	TRUE TO ITS NAME
1	Worth it???no
5	Great hair dryer
5	Five Stars
5	she said It feels like a real saloon
5	Five Stars
5	Five Stars
1	One Star
5	Five Stars
1	One Star
3	Three Stars
5	Five Stars
3	Dryer works great but be careful with cord
4	Seems very sturdy High setting very strong but quite
5	Five Stars
5	Five Stars
5	Five Stars
3	Not very powerful but its cute!
3	but I was disappointed when I received it because the power cord is ...
4	but I like it.
5	Five Stars
4	Works very well. I just wish it had a ...
5	Five Stars
5	Five Stars
5	"Small, compact, powerful!"
1	This is the worst hair dryer I have ever bought
3	Not amazed.
1	Waste of Money
2	I had to super glue it down so the blow dryer wouldn't suck ...
4	It's nice. I thought the cool shot had a locking ...
5	Must buy!!
3	The hair dryer itself is great; but the volumizing finger diffuser is terrible
5	"Compact, Powerful and Easy to Use"
1	One Star
5	Five Stars
2	Doesn't work for long!
4	Bonnet opening too small. Should be way more elastic so you can adjust it with the button
5	Five Stars
5	Five Stars
5	AWESOME!
5	Five Stars
4	Good.
5	Girl's (2nd) best electronic friend. ;)
5	Five Stars
5	Glad I finally wised up
3	Three Stars
5	A+ Air Power!
5	... of these in a hotel while on vacation and liked it so much I came home and ordered one
4	Great blowdryer for the price that gets the job done
5	Five Stars
2	I like using this dryer
5	Five Stars
5	Excellent buy at this price point!
5	I love how it folds and how it is easy to ...
5	Cuts down on the frizz!
5	Light and powerful
5	Great blow dryer!!
5	Bit heavier than desired but overall great
5	Five Stars
4	Good things come in small packages
5	Perfect heat settings and easy to hold.
5	Worth the heavy price!
4	Be careful!
5	Can't beat the power for the price!
3	It's not perfect.
1	We have bought at least 6 of these.. ...
1	Disappointed
4	Four Stars
5	everything about it seems great.
1	No good!
3	I like the dryer - I know this will sound silly ...
5	Great dryer
5	AWESOME!
5	Five Stars
4	Four Stars
3	Fine for my short hair
5	Five Stars
5	Five Stars
4	Worked wonderfully
4	Four Stars
5	Five Stars
3	Not good!! The hair dryer is also heavy and ...
5	Five Stars
5	One hot dryer!
4	Worth the money
5	comfortable to hold
5	Great!!
5	Five Stars
2	Two Stars
2	High setting stopped working on second use
5	love it !! amazing !!
5	The best Hair Dryer for anyone!
4	Four Stars
4	Its PINK AND BROWN
5	Five Stars
5	Five Stars
5	Solid!!!
4	Hair dryer has a good weight to it and it feels solidly built
2	Too Weak
5	Five Stars
5	Five Stars
5	I love this hair dryer
4	Works as advertised
5	great blowdryer!
5	"Bought two, I liked it so much!"
5	Five Stars
5	Awesome
5	Adorable and Great for Fine Hair.
4	Good gift
5	Five Stars
5	Five Stars
5	Fast shipping has lots of power my friend recommended this blower she loves it so I am very ...
5	N/A
1	Does not work
5	Elchim Professional 2001 Clasic Hair Dryer
5	Your Hair Will LOOK AMAZING!
3	Still would recommend.
5	Five Stars
5	Great for curly hair!!
2	Short-lived
1	Please don't buy this item
3	"Like these for my rentals, but.. had one to quit on me although it's brand new"
1	One Star
5	Good use. It's very compact
5	Love it.
5	Perfect!
5	Five Stars
5	Works great and very portable when we travel in our RV
2	Can't turn the voltage switch
5	Five Stars
4	Great performance
5	Great!
5	Five Stars
5	My wife loves it (I did good on this one)
5	This item is great! Great price and the best thing I like ...
4	Space Saver
2	The hair dryer had great power and dried my hair really fast
5	Girlfriend loves it
5	Five Stars
2	OK while it worked.
5	Im a dude first off. At first I thought ...
5	Five Stars
5	Five Stars
