star_rating	review_headline
5	Love this!
5	Love 💕
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
3	Does the job
5	"Kid loves it, so I do to."
5	We love the NUK brand of bottles and pacifiers and these ...
5	I mustache you a question..
5	Five Stars
4	Four Stars
5	Baby's favorite
5	Five Stars
5	Love these! The shape of them allows my daughter ...
4	I do not like these pacifiers
5	Five Stars
5	tried many others and this is the best!
1	one star
5	easy to use
5	exactly what i needed
3	great for limited space
5	adorable
1	total junk - get a munchkin brush instead
5	we're very happy with this cup
1	overrated
5	would recommend to everyone!
1	one star
1	"terrible, leaks like crazy."
1	quality is not good
5	beautiful amber items! incredible service!
1	leaky nipples (not a joke)
5	five stars
5	awesome bibs
5	great to keep floor clean
4	four stars
5	five stars
5	fabulous!
5	good dog gate
5	"good quality, easy to use, very portable, worth the purchase."
5	five stars
5	five stars
5	pushes easy. much upgrades since older models
3	three stars
3	three stars
4	they still love it!
3	nice looking basket- size and quality not so great.
5	five stars
5	Five Stars
5	MUST buy for new babies
5	Our daughter loves it!
5	Five Stars
5	My infant loves these. They are high-quality material and ...
5	!
5	Great!
5	Bought one because I heard good things about it
5	Favorite pacifiers
2	"The nipple part of the pacifier is fine, but didn't seem like anything special"
5	... went above and beyond to make sure I was satisfied. Thanks
5	Great compact pacifiers
4	these work great and are super easy to attach to a pacifier ...
5	Five Stars
5	Finally!  Success!
5	Five Stars
2	Other brands are far superior
5	Favorite Binkie
5	best one we've found
2	but now that the crib is on the lowest level they're useless. totally collapse and look sloppy
4	cute and functional
5	who doesn't love a baby with a mustache
	
5	the best!
5	i am extremely happy with the hippo organizer
2	holes seem smaller
5	five stars
5	your baby deserves the best and safest! =)
1	the quality is very poor. waste money to buy
4	everyone loved them! used this for a bridal shower
5	the fabric is durable and the side mesh pockets are super. there is a zipper on top
5	five stars
3	great for when he stays swaddled
5	love this! super durable (my 5yo son thrashes everything
5	fantastic coverage of granddaughters eyes
5	the best bottle/kids cup brush
5	"easy to hang, holds a lot of stuffed animals"
2	two stars
5	Amazing product.
5	Five Stars
4	Four Stars
5	Love these!
5	My son (3 mos old) loves these and everyone gets ...
5	Love them!!
2	Causes face rash
5	It seems very sturdy and is made in the USA
5	Bought this to go with infant tux for a wedding ...
4	Four Stars
5	Five Stars
3	Not her faves...
3	Three Stars
5	Adorable and great for sensitive skin
5	Best night pacifiers
3	Not quite convenient and the creases are not very attractive
5	I'm in love...and so is my baby!
5	Five Stars
5	Five Stars
1	Hole in tip!
5	Five Stars
4	"Functional, but don't buy them for aesthetic reasons"
5	"the gave one to my son while he was in the NICU at UCSF and he loved it, it was easier to stay in his ..."
5	Five Stars
5	My month old loves them and so do I because they're easy for him to find and put in his mouth
5	We love our Mam pacis!
5	Great product - our baby loves it!
3	Three Stars
5	The Best!
5	Wouldn't use anything else!
2	Two Stars
5	Very cute
5	Five Stars
5	❤️
5	Great for nighttime
3	Okay but you can find better ones
4	Perfect for baby
