star_rating	review_headline
1	Do not recommend it. go use your money for something more ...
5	Looks as good as the picture
4	Four Stars
3	quiet
4	Four Stars
5	Great Microwave
4	Was pleased with the packaging and easy instructions to set it ...
5	Great Value for the Money.
2	It had great reviews when we ordered it
5	Great little microwave!
4	Four Stars
5	Five Stars
3	I never used this for my wife insisted we buy ...
5	... for about a week and so far it's been great; the microwaving powder is quite strong
1	I only got to use the grill feature once and it was fun.
5	This is a funny story.
4	Love to nuke
4	this is a great product. The size is perfect and it works ...
4	Four Stars
5	"Timely delivery, good product."
5	Five Stars
5	Whirlpool WMC20005YW 0.5 cubic ft. microwave white
3	Danby 1.1 cuft microwave good unit
5	Five Stars
5	Worked well on Sharp Carousel II
5	Great purchase. The microwave does the job and was ...
5	Five Stars
5	Five Stars
5	Truckers Mucrowave
4	Gap on the top right
5	Five Stars
4	But it fits where we wanted it just perfect and we like the looks
5	Five Stars
4	It's pretty powerful. It looks as if there are many ...
5	What a great unit! Took some fiddling to install but the ...
5	The fabuous whirlpool mini!
5	Five Stars
3	"Nothing special, but fits the bill."
1	Received defected item
5	but it heats quickly and is very easy to clean
5	Five Stars
1	it looks like it is cooking but the water is at room ...
5	Easy install.  Looks great.  Works great.
5	"Great microwave, I would purchase again."
1	Amazon reviews were misleading.
5	Five Stars
5	I couldn't enjoy our travels in our RV if I didn't have ...
5	Excellent Microwave -- does the job!
5	Five Stars
5	Great drawer microwave
2	microwave worked fine when I bought back in March '15
2	to the point where it's annoying. If I had known this before I purchased ...
4	Still in the box
5	Five Stars
3	but it is a little slow and worse of all it has no way to quickly add ...
5	Five Stars
5	Love it!
5	"Great price, great microwave"
4	Very good but smelly
5	A real beauty!
4	Very satisfied
5	excellent!
5	Better than expected!
5	Five Stars
5	Five Stars
5	Five Stars
5	This is the perfect size for the space we have and I think ...
2	Not very happy with the new design
4	Four Stars
5	Five Stars
5	Looks great. Works great
5	Five Stars
4	Great Microwave.
5	We've been very happy with this
1	PoS
4	Good value for price
5	Sleek Samsung microwave with grill/combi feature
5	Five Stars
1	Disappointed
5	The most adorable little microwave around
4	Just the right size
1	Microwave Died within Six Months
4	Nice looking
4	Four Stars
5	Five Stars
5	This unit is unusual and special due to its vertical dimensions.
5	Excellent part
1	Terrible microwave. doesn't heat the food yet the outside ...
3	Three Stars
5	Read The Manual And You Will Be Rewarded!
3	"Does the job, but not Elegant"
4	Good value
5	Five Stars
5	"Small space, big job."
5	Works as expected and seem to do the job!
5	Five Stars
4	So far so good ...
3	It's a microwave. The buttons feel cheap. Also ...
5	Five Stars
5	Great little microwave!
5	Great for a small kitchen!
4	Four Stars
4	Four Stars
4	I can have microwave popcorn again
5	Five Stars
5	Five Stars
4	Great microwave
4	So far so good! I'm not enamored with the constant beeping when ...
1	Poor quality
5	As the wiseman said I have a happy life when I have a happy wife
5	Great little microwave!
5	Could not have asked for anything better
5	but still great!! I should've just read the dimensions
4	Good except for the dang Superman door latch!
2	Not small at all!
5	Works As Advertised If You Do Proper Prep Work
1	The oven stopped working 1 month after I got it ...
4	but it seems like they should be able to fix that in a ...
3	I like Sharp Microwaves
4	Four Stars
1	Stopped Working After 5 Months.
4	Great microwave for small spaces
4	works well and an an advantage i had not thought ...
4	great for singles
4	then it's a great deal!
5	"matched its description, successfully replaced broken part on my ..."
4	Four Stars
4	slides too easily.
5	Perfect space and size
4	Four Stars
4	"Owned since December 15, 2014"
5	"SOLID microwave, looks and works perfect! See my photos."
4	"Solid Microwave, but has got a few cons..Still recommended for its efficiency"
4	Very satisfied
2	It used to open easily. It no longer opens when you push the ...
3	Three Stars
4	... have a small apartment) well and I am very pleased. Does not take up a lot of room ...
1	"Had problems in just 3 months, disappointed."
5	Five Stars
5	Five Stars
5	"Wonderful looking, Quite large"
4	Four Stars
4	"Nice looking, easy to clean and large interior"
5	Five Stars
5	Installed easily and looks great
4	Heats up fast.
1	Yuk
5	Five Stars
5	Five Stars
5	Five Stars
5	Great Product!
5	Five Stars
5	Five Stars
5	Five Stars
5	Five Stars
4	Great microwave at any price
4	"after sanding rust out and washing cavity, paint when ..."
4	Four Stars
5	Stylist microwave
3	No review because it was returned
5	Great item and seller!
3	I wanted a product that was a microwave and toaster ...
2	Good microwave oven.  Priced right.
1	One Star
5	Five Stars
5	Amazing
5	A great little microwave for the price
